463;Драка;8324;055503;23529;40
464;Средец;8300;05551;17974;40
465;Дебелт;8141;05558;20273;40
466;Дюлево;8330;05552;24712;40
467;Малина;8327;055503;46348;40
468;Белила;8316;05551;03455;40
469;Кирово;8344;05556;36938;40
470;Проход;8336;05557;58712;40
471;Кубадин;8335;05559;40419;40
472;Сливово;8331;05555;67413;40
473;Орлинци;8325;NULL;53984;40
474;Зорница;8662;NULL;31379;40
475;Загорци;8321;05553;30168;40
476;Суходол;8328;055502;70322;40
477;Бистрец;8334;05557;04176;40
478;Драчево;8319;055505;23604;40
479;Пънчево;8317;05551;59015;40
480;Белеврен;8345;05556;03349;40
481;Росеново;8318;05551;63055;40
482;Тракийци;8348;NULL;72967;40
483;Граничар;8347;05556;17779;40
484;Гранитец;8333;05557;17720;40
485;Варовник;8338;055504;10166;40
486;Светлина;8322;055503;65560;40
487;Богданово;8337;055504;04621;40
488;Радойново;8323;055503;61563;40
489;Вълчаново;8341;05551;72059;40
490;Синьо Камене;8332;0557;66585;40
491;Момина църква;8320;05554;29221;40
492;Голямо Буково;8329;05556;15816;40
493;Долно Ябълково;8342;05555;22914;40
494;Горно Ябълково;8343;05555;17035;40
495;Есен;8459;05577;27615;40
496;Завет;8432;05574;30051;40
497;Огнен;8467;05578;53312;40
498;Скала;8462;05572;66682;40
499;Чубра;8461;05571;81582;40
500;Подвис;8450;05577;56959;40
501;Лозица;8466;05571;44149;40
502;Пчелин;8456;05573;58857;40
503;Прилеп;8445;05575;58325;40
504;Климаш;8442;05576;37215;40
505;Садово;8463;05573;65111;40
506;Горово;8469;05571;17049;40
507;Костен;8441;05576;38889;40
508;Вълчин;8443;05576;12591;40
509;Камчия;8434;05575;36004;40
510;Грозден;8464;05571;17909;40
511;Черница;8468;05571;81006;40
512;Манолич;8453;05570;47096;40
513;Ведрово;8447;05579;10313;40
514;Лозарево;8440;05576;44029;40
515;Славянци;8460;05571;67115;40
516;Каменско;8455;NULL;35924;40
517;Велислав;8458;05573;76056;40
518;Дъбовица;8449;05572;83137;40
519;Бероново;8448;05572;03959;40
520;Везенково;8457;05573;10327;40
521;Терзийско;8465;05578;72299;40
522;Босилково;8446;05579;05726;40
523;Сунгурларе;8470;05571;70247;40
524;Съединение;8430;05574;70514;40
525;Балабанчево;8471;NULL;02322;40
526;Кости;8283;05569;38947;40
527;Царево;8260;05562;48619;40
528;Велика;8271;05567;10361;40
529;Резово;8281;05563;62459;40
530;Изгрев;8273;05562;32514;40
531;Варвара;8278;05563;10094;40
532;Българи;8274;05569;07291;40
533;Лозенец;8277;05567;44094;40
534;Ахтопол;8280;05563;00878;40
535;Фазаново;8272;05567;76025;40
536;Кондолово;8275;05569;38251;40
537;Бродилово;8282;05565;06553;40
538;Синеморец;8279;05563;66528;40
539;Юнак;9138;05101;86057;40
540;Аврен;9140;05106;00084;40
541;Китка;9127;05105;37068;40
542;Круша;9121;05105;40066;40
543;Синдел;9270;05100;66490;40
544;Садово;9139;05108;65125;40
545;Здравец;9137;05104;30627;40
546;Царевци;9268;05100;70220;40
547;Болярци;9125;05105;05311;40
548;Близнаци;9132;05107;04426;40
549;Приселци;9131;05105;58445;40
550;Бенковски;9133;05104;03811;40
551;Добри дол;9128;05108;21419;40
552;Дъбравино;9267;05101;24400;40
553;Равна гора;9124;05105;61128;40
554;Тръстиково;9271;05102;73393;40
555;Казашка река;9141;05101;35208;40
556;Радево;9177;05116;61306;40
557;Ботево;9159;05117;05829;40
558;Кичево;9190;052;37099;40
559;Водица;9174;05118;11702;40
560;Долище;9191;051104;21988;40
561;Въглен;9157;052;12406;40
562;Припек;9146;05119;58373;40
563;Орешак;9193;052;53691;40
564;Засмяно;9175;05118;30363;40
565;Крумово;9185;05116;39983;40
566;Осеново;9194;051106;54145;40
567;Зорница;9156;051108;31334;40
568;Новаково;9187;05116;51826;40
569;Куманово;9192;052;40590;40
570;Аксаково;9154;05113;00182;40
571;Яребична;9158;052;87518;40
572;Слънчево;9144;05119;67489;40
573;Изворско;9155;051108;32490;40
574;Игнатиево;9143;05119;32278;40
575;Доброглед;9145;05119;21587;40
576;Климентово;9189;05115;37246;40
577;Любен-Каравелово;9184;051103;44519;40
578;Генерал-Кантарджиево;9188;05115;14653;40
579;Езерово;9129;05114;27125;40
580;Разделна;9153;051127;61741;40
581;Белослав;9150;05112;03719;40
582;Страшимирово;9151;05114;69763;40
583;Бяла;9101;05143;07598;40
584;Дюлино;9108;051428;24739;40
585;Горица;9103;05143;16078;40
586;Попович;9102;05143;57635;40
587;Самотино;9104;05143;65259;40
588;Господиново;9107;051428;17323;40
589;Варна;9000;052;10135;40
590;Тополи;9024;052;72709;40
591;Казашко;9025;052;35211;40
592;Каменар;9026;052;35701;40
593;Звездица;9027;052;30497;40
594;Константиново;9152;051125;38354;40
595;Невша;9229;05165;51233;40
596;Ягнило;9131;05162;87206;40
597;Ветрино;9220;05161;10865;40
598;Момчилово;9221;05169;49000;40
599;Габърница;9227;05164;14252;40
600;Белоградец;9230;05162;03602;40
601;Средно село;9222;05161;68480;40
602;Доброплодно;9281;05166;21645;40
603;Млада гвардия;9228;05163;48653;40
604;Неофит Рилски;9223;05164;51487;40
605;Бояна;9183;05139;05978;40
606;Искър;9285;05132;32860;40
607;Кракра;9287;05132;39373;40
608;Звънец;9179;05130;30555;40
609;Калоян;9288;05137;35506;40
610;Щипско;9283;05131;84022;40
611;Страхил;9178;05130;69701;40
612;Михалич;9284;05132;48524;40
613;Есеница;9289;05137;27629;40
614;Оборище;9189;05139;53093;40
615;Брестак;9290;05136;06416;40
616;Червенци;9298;05134;80529;40
617;Изворник;9297;05135;32442;40
618;Добротич;9282;05138;21717;40
619;Вълчидол;9280;05131;12574;40
620;Войводино;9292;051314;11836;40
621;Метличина;9291;05136;47874;40
622;Караманите;9299;05136;36302;40
623;Радан войвода;9294;05133;61265;40
624;Генерал-Колево;9295;05133;14670;40
625;Стефан Караджа;9293;05135;69170;40
626;Генерал-Киселово;9180;05130;14667;40
627;Девня;9160;0519;20482;40
628;Кипра;9169;0519;36868;40
629;Падина;9272;05102;55110;40
630;Юнец;9109;05148;86088;40
631;Булаир;9115;05149;07034;40
632;Голица;9114;05149;15597;40
633;Рудник;9105;05148;63197;40
634;Солник;9122;051429;68028;40
635;Кривини;9123;05142;39801;40
